season,date,playoff,neutral,status,home_team,away_team,home_team_abbr,away_team_abbr,home_team_pregame_rating,away_team_pregame_rating,home_team_winprob,away_team_winprob,home_team_score,away_team_score,home_team_postgame_rating,away_team_postgame_rating,commissioners_cup_final
1997,1997-07-18,0,0,post,New York Liberty,Los Angeles Sparks,NYL,LAS,1590.01685403151,1495.73266063448,0.731699141649171,0.268300858350829,69,57,1597.68879399697,1488.06072066902,0
1997,1997-07-20,0,0,post,Charlotte Sting,Los Angeles Sparks,CHA,LAS,1496.21474226014,1488.06072066902,0.62420975757458,0.37579024242542,75,64,1507.03776585216,1477.237697077,0
1997,1997-07-20,0,0,post,Sacramento Monarchs,Phoenix Mercury,SAC,PHO,1440.35181749728,1570.22002761944,0.42872267916062,0.57127732083938,57,70,1426.20756819665,1584.36427692007,0
1997,1997-07-21,0,0,post,Phoenix Mercury,Houston Comets,PHO,HOU,1584.36427692007,1567.06943736364,0.636469689576149,0.363530310423851,69,77,1566.81818428654,1584.61552999717,0
1997,1997-07-21,0,0,post,New York Liberty,Las Vegas Aces,NYL,LVA,1597.68879399697,1374.09787896098,0.851651072738238,0.148348927261762,71,78,1571.19222885961,1400.59444409834,0
1997,1997-07-22,0,0,post,Los Angeles Sparks,Cleveland Rockers,LAS,CLE,1477.237697077,1466.29658163252,0.627965618018319,0.372034381981681,85,89,1465.24503548906,1478.28924322047,0
1997,1997-07-22,0,0,post,Charlotte Sting,New York Liberty,CHA,NYL,1507.03776585216,1571.19222885961,0.522787763395493,0.477212236604507,63,65,1499.8740445763,1578.35595013546,0
1997,1997-07-24,0,0,post,Sacramento Monarchs,Houston Comets,SAC,HOU,1426.20756819665,1584.61552999717,0.389039242833592,0.610960757166408,76,86,1415.57046422493,1595.25263396889,0
1997,1997-07-24,0,0,post,Phoenix Mercury,Los Angeles Sparks,PHO,LAS,1566.81818428654,1465.24503548906,0.739855772012254,0.260144227987746,83,86,1553.26847262155,1478.79474715405,0
1997,1997-07-25,0,0,post,New York Liberty,Charlotte Sting,NYL,CHA,1578.35595013546,1499.8740445763,0.713469598509909,0.286530401490091,61,64,1565.56589802444,1512.66409668732,0
1997,1997-07-25,0,0,post,Las Vegas Aces,Cleveland Rockers,LVA,CLE,1400.59444409834,1478.28924322047,0.503317402056769,0.496682597943231,66,77,1385.04758040245,1493.83610691636,0
1997,1997-07-26,0,0,post,Sacramento Monarchs,Los Angeles Sparks,SAC,LAS,1415.57046422493,1478.79474715405,0.524123453443889,0.475876546556111,62,84,1389.52390779216,1504.84130358682,0
1997,1997-07-27,0,0,post,Phoenix Mercury,Cleveland Rockers,PHO,CLE,1553.26847262155,1493.83610691636,0.690538324576399,0.309461675423601,64,76,1527.94504070192,1519.15953883599,0
1997,1997-07-28,0,0,post,Houston Comets,Cleveland Rockers,HOU,CLE,1595.25263396889,1519.15953883599,0.710650219766571,0.289349780233429,64,73,1573.12029521585,1541.29187758904,0
1997,1997-07-29,0,0,post,Charlotte Sting,Phoenix Mercury,CHA,PHO,1512.66409668732,1527.94504070192,0.592075688770379,0.407924311229621,68,67,1517.05345874425,1523.555678645,0
1997,1997-07-29,0,0,post,New York Liberty,Sacramento Monarchs,NYL,SAC,1565.56589802444,1389.52390779216,0.813648863205187,0.186351136794813,73,68,1568.61360869995,1386.47619711665,0
